date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:53	23/23	---M--	200	added ('OK')	text/plain	date:Wed,%2015%20Mar%202023%2002:34:41%20GMT	https://www.agolworld.com/robots.txt		(from )
22:12:54	22724/22724	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2016:42:50%20GMT	https://www.agolworld.com/	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/index.html	(from )
22:12:55	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2031%20Oct%202023%2016:42:51%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Agolworld/www.googletagmanager.com/gtm.05445.delayed	(from https://www.agolworld.com/)
22:12:56	1013/1013	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:55%20GMT	https://www.agolworld.com/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/owl.theme.default.min.css	(from https://www.agolworld.com/)
22:12:56	3352/3352	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:55%20GMT	https://www.agolworld.com/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/owl.carousel.min.css	(from https://www.agolworld.com/)
22:12:57	153144/153144	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:51%20GMT	https://www.agolworld.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/bootstrap.min.css	(from https://www.agolworld.com/)
22:12:58	60563/60563	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:51%20GMT	https://www.agolworld.com/assets/css/animate.min.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/animate.min.css	(from https://www.agolworld.com/)
22:12:59	5235/5235	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:53%20GMT	https://www.agolworld.com/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/magnific-popup.min.css	(from https://www.agolworld.com/)
22:12:59	53251/53251	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:52%20GMT	https://www.agolworld.com/assets/css/boxicons.min.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/boxicons.min.css	(from https://www.agolworld.com/)
22:12:59	2154/2154	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:52%20GMT	https://www.agolworld.com/assets/css/flaticon.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/flaticon.css	(from https://www.agolworld.com/)
22:13:00	2309/2309	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:53%20GMT	https://www.agolworld.com/assets/css/meanmenu.min.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/meanmenu.min.css	(from https://www.agolworld.com/)
22:13:00	3070/3070	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:54%20GMT	https://www.agolworld.com/assets/css/nice-select.min.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/nice-select.min.css	(from https://www.agolworld.com/)
22:13:00	3116/3116	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:54%20GMT	https://www.agolworld.com/assets/css/odometer.min.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/odometer.min.css	(from https://www.agolworld.com/)
22:13:01	18535/18535	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2002:34:56%20GMT	https://www.agolworld.com/assets/css/responsive.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/responsive.css	(from https://www.agolworld.com/)
22:13:01	104814/104814	---M--	200	added ('OK')	text/css	date:Sun,%2007%20May%202023%2005:12:34%20GMT	https://www.agolworld.com/assets/css/style.css	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/css/style.css	(from https://www.agolworld.com/)
22:13:03	2248/2248	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Mar%202023%2002:35:15%20GMT	https://www.agolworld.com/assets/img/favicon.png	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/img/favicon.png	(from https://www.agolworld.com/)
22:13:03	9657/9657	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2016:42:59%20GMT	https://www.agolworld.com/track-order	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/track-order.html	(from https://www.agolworld.com/)
22:13:04	8101/8101	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Mar%202023%2002:35:16%20GMT	https://www.agolworld.com/assets/img/logo.png	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/assets/img/logo.png	(from https://www.agolworld.com/)
22:13:04	16496/16496	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2016:43:00%20GMT	https://www.agolworld.com/about_us	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/about_us.html	(from https://www.agolworld.com/)
22:13:05	20748/20748	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2016:43:01%20GMT	https://www.agolworld.com/importer-of-record-services	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/importer-of-record-services.html	(from https://www.agolworld.com/)
22:13:05	19724/19724	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2016:43:02%20GMT	https://www.agolworld.com/on-board-courier-services	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/on-board-courier-services.html	(from https://www.agolworld.com/)
22:13:06	17527/17527	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2016:43:02%20GMT	https://www.agolworld.com/dedicated-ground-services	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/dedicated-ground-services.html	(from https://www.agolworld.com/)
22:13:06	17867/17867	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2016:43:02%20GMT	https://www.agolworld.com/next-flight-out-services	C:/My%20Web%20Sites/Agolworld/www.agolworld.com/next-flight-out-services.html	(from https://www.agolworld.com/)
